Stock,SMA_MAPE,EMA_MAPE,LR_MAPE
COST,1.679872213086167,11.261510109207157,1.934618712810157
UL,1.3865034259390285,11.065724881254685,1.7325714640480585
AMGN,1.670654408562227,11.129549732385415,1.9858724824758367
UNH,1.83170733142432,11.208718313554408,2.1751440081554474
WAT,2.1837378381914743,11.154135571202636,2.635962839845543
UPS,2.015870819825036,11.144035758256592,2.3326740419659338
LPX,3.463596571613553,11.319833242056534,3.9506948347777247
WM,1.4285727805081199,11.183397426209138,1.705697264111995
NVDA,3.7357364904612256,11.464808823004336,4.354585489821902
GOOGL,2.2449998500467245,11.218527307766477,2.6554982341834963
MSFT,2.043030365251076,11.251229814385344,2.557483973031838
AXP,2.5899219056988962,11.164970896329143,2.817153509045246
BLK,2.172027707492997,11.196064461076205,2.4449506250265913
BRK-B,1.4249819799623806,11.18450761946821,1.6461982771656707
NEE,2.019101659253452,11.101802392308704,2.2994105983699957
XOM,2.562877471370508,11.165359885429107,3.0386424303934274
CNI,1.7213341622882077,11.156408028604323,2.0508183721487625
